replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_acc
0,ZYTOKINE - Dancing Dollz feat. cold kiss - REDALiCE Remix [Extra],HD,5.378838080776566,9.163161111063852,42.91818596055083
1,ayase rie - yuima-ru*world [Real's Insane],HD,4.3500049935773095,3.294954159936158,22.696395149820972
2,Sunless Rise - Awakening [Untruth],NM,7.132570969348935,44.45319703176571,115.5668321314403
3,Masatoshi Ono - departure! (TV Size) [Insane],HD,3.917636277139162,2.0089014425221556,15.627138998748554
4,3aP9DKu_HayWHuku - no_100_Pu6Jleu [HayWHuku],NM,6.74610511110592,7.0544798414784555,5.2103863772561745
5,xi - Garyou Tensei [AngelHoney],HDV2,4.977903680729503,14.442013502709525,45.522396174077805
6,07th Expansion - rog-limitation [Hard],DT,3.2459705008051523,7.000172077798761,27.038642544024764
7,Ray - km/h (TV Size) [Gotta Go Fast!],NM,6.467316461886227,6.007269707531362,18.68979846243076
8,senya - Saihate no Kotoba [Ghostly],HDDT,4.405434926881876,5.1370276977177936,38.85574113830145
9,m1v - you [insane],NM,4.299809195062088,3.6762930487252796,8.72117420064818
10,TRUE - Soundscape [Skybleru's Hard],HDDT,3.553152404908584,8.584122325042236,32.27913648191164
11,Fellowship - Glory Days [Relentless Heartache],NM,7.440694505672509,23.428244652719393,49.55217684718816
12,Geri Halliwell - It's Raining Men [HP's Slip 'n Slide Mishap],NM,4.187495281240802,9.064123324146852,59.65281849017063
13,DystopiaGround - AugoEidEs [oyasumi],HD,7.221914157087275,20.085369878517913,39.67451833299305
14,:)  feat. KAFU - Egonomy [fleX],NM,6.59679785643529,38.0066803532188,52.764474630239114
15,UROBOROS - Black Swallowtail (TV Size) [Flezlin's Extra],NM,6.290803137541907,9.3870478974223,32.953246515653724
16,Popek - Rhythmic Collapse [Rhytmusstorung],NM,7.460353471999598,50.73393472227968,83.1317688123894
17,Project Grimoire - Caliburne ~Story of the Legendary sword~ [Extra],HD,5.812359430586006,6.435166904679925,35.40676070655661
18,Soushi Sakiyama - Uso Janai [Normal],HDDTHRSD,2.159150797726815,2.4049414446554818,26.49679383532948
19,Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],HD,6.413248499271901,8.484392704553102,13.664733247676411
20,RD-Sounds feat. Meramipop/nayuta - Shiten [Collab Extra Stage],HR,5.2172098223311085,4.059352561548964,42.16830312117809
21,sumika - Fiction (TV Size) [Normal],NM,1.802802196874712,4.725362772555143,12.166285585251378
22,Imperial Circus Dead Decadence - Uta [Collab],NM,5.093824903114868,14.05977076622942,54.12369033974597
23,Suzuki Konomi - Realize (TV Size) [Grasp of the Undying],NM,6.303162442349645,6.299122619463865,14.301176402159305
24,t+pazolite - Oshama Scramble! (IOException Edit) [Special],NM,6.583587399492515,35.62980715971976,43.084913662591426
25,Breaking Benjamin - Breath [Extra],NM,5.272865847352444,4.3773802826240855,22.374986858407468
26,FELT - New World [Illusion],HR,6.022142941786834,4.569446668165226,25.996213766555698
27,Brian The Sun - Lonely Go but too many LONELYS [LONELY LONELY LONELY GO],HDNCNF,7.164170212537918,23.4171303767637,32.20187094542657
28,DM DOKURO - SAVE (Encore) [Fatfan's Expert],NM,4.998148762685445,4.021368581100612,10.643391516250482
29,ClariS - SHIORI -TV size mix- [Habi's Extra],NM,5.16378423609836,4.990286206813505,14.160717479059175
31,cinnamons x evening cinema - summertime [plaudible's hard],DT,3.085419153462456,2.287286922659576,19.61216651362745
32,Demetori - Songs Compilation [Marathon],DT,4.830476373449198,30.46795407583403,101.09884898999627
33,Digital Sexy - Til Death (Nightcore Mix) [Taeyang's Expert],HDDT,5.102735675592763,4.574821468562834,14.098286154512133
34,DECO*27 - First Storm feat. Hatsune Miku [my Drops of Tears I'll turn to Sparks of Fire],NM,6.656586255846911,9.838797156239123,44.992598853293266
36,44teru-k - F.I [Extra445],NM,5.1117255513324436,8.771914771986573,61.01464482570017
37,TUYU - Namikare [Withering Tears],NM,6.976028127384328,16.174823928663205,38.625138056722534
38,DECO*27 - Ghost Rule [No One But CRN !!],NM,8.010053647024229,47.3414887556974,34.034014661767344
39,supercell - Mr.Downer [AF's Extra],DT,5.548707391700045,7.1967947034867565,13.41720066268945
40,AKINO from bless4 & CHiCO with HoneyWorks - MIIRO vs. Ai no Scenario [Tatoe],HD,5.981800049748241,4.47827563273013,13.074298553654634
41,Hyadain - Hyadain's Jojo Yujo (TV Size) [Karaage's Insane!],NM,3.9788163858492336,4.1989079400280795,12.94211438859316
42,"Yamaguchi Rikako, Asakura Momo, Taneda Risa, Suwa Ayaka, Natsukawa Shiina - UNION!! [6MIX]",HDDT,4.895083173816451,5.778741462670107,34.969023407321274
43,beatMARIO - Night of Knights [SOLO],FL,4.826753071421301,17.016568841333733,67.38626013762594
44,AK X LYNX ft. Veela - Virtual Paradise [thzz' Insane],HDDT,4.367586660090208,4.339827162961269,16.047935699460318
45,TAROLIN feat. Katakiri Rekka - Cardinal Rave [Expert],HD,5.523466183805998,15.873390632201165,52.043283054609134
46,ONE OK ROCK - Take me to the top [Sotarks' Ascension],NM,6.696545677833401,11.443617864793323,19.86851646766258
47,Reol - Asymmetry [captin's Extra],HD,5.968649923531777,8.193886826357554,27.68307025500377
48,Trial & Error - Taiatari*Romance feat. Ayuru Ouhashi (Short Ver.) [Insane],NM,4.292223371374116,2.7476332550128375,9.255555332519346
49,Panda Eyes & Teminite - Immortal Flame (feat. Anna Yvette) [Eternal Blaze],NM,7.003500155189385,13.676228521321452,22.872398937187025
50,Akatsuki Records - Trance Dance Anarchy [Don't Look Back],NM,6.843926227763996,13.557161313030232,33.43826020158833
51,Trivium - Down From The Sky [Heavensfall],HD,5.082228349730671,10.305737167169474,54.964557750080736
52,Inferi - Those Who from the Heavens Came [Fengshen Yanyi],EZDT,7.720248693624475,87.46421133745605,171.88857841162
53,40mP feat. yuikonnu - Ame to Asphalt [Rain],NM,6.265702536619945,6.923807413991522,13.722491231855239
54,MIMI feat. Hatsune Miku - Marshmary [Horizon],HD,5.4912291071579835,4.991803736113992,13.757845232534356
55,supercell - Speed Up Map Packs [Kimi no Shiranai Monogatari Nevo 1.4x],HDDT,6.594398763012467,12.247775706393663,23.5232772702675
56,An - artcore JINJA [Lunatic],NM,5.014191541436129,8.216998152684264,25.98399172896104
57,Fujijo Seitokai Shikkou-bu - Best FriendS [Everlasting MemorieS],HDDT,4.968129534388303,5.123019323132164,26.459941423049035
58,MIMI - Ai no Sukima (Arrange Ver.) [Sabishii],NM,4.2372569851031905,3.8538380487789614,9.90590903185312
59,TEARS OF TRAGEDY - Spring Memory [Satellite & ponbot's Bittersweet Memories],HD,5.331742975045103,8.079975732143222,32.3089044325378
60,YOASOBI - Gunjou [Irreplaceable],NM,5.0408967293365965,19.35516548254664,43.551617611598935
61,Yu-Peng Chen @HOYO-MiX - Reconnaissance Captain [Dance of Sacrifice],NM,4.005432489934332,1.1055502475067653,2.8401885356015737
62,Lia - Bravely You (TV Size) [-Tochi's Insane],NM,4.62342511464313,5.314328412771383,23.496632876736193
63,"Megu (CV: Murakawa Rie), Syaro (CV: Uchida Maaya) - Ashioto Tarte Tatin [Kyuuchinyuni's A la Carte]",HDHR,5.767824878827591,4.368621359702049,24.78528834270426
64,Kobaryo - Tool-Assisted Speedcore (TQBF Frame Advance RMX) [Delete The World],NF,8.064830773157961,72.44061001448459,65.45737768036962
65,TUYU - Songs Compilation [Sorrow],NM,5.095771097053972,15.160325427096785,46.49619001908383
66,GALNERYUS - RAISE MY SWORD [AnimLoli's Expert],NC,5.617946001001725,27.593216516169097,91.43941634205538
67,La factoria - Perdoname (Hatsune Miku Ver.) [Gomenasai],HDHR,6.1801640326869345,6.6278749498153475,20.694125880858692
68,umu. - humanly [facade],NM,8.941362887698606,69.7882710949076,52.976754727167226
69,07th Expansion - rog-unlimitation [AngelHoney],HD,6.11830789560834,9.179460894809155,82.36824092399341
70,va - jump pack [A FOOL MOON NIGHT],NF,10.084165271063858,84.33576752778303,58.21931918566276
71,Various Artist - Oriental's Long Stream Practice & Training Maps 3 [BPM210 Paraclete],DT,5.426332145159955,15.786369351563065,185.0086571313558
72,toby fox - Hopes and Dreams [Insane],HDDT,3.999426737274744,4.570750137595234,22.033894751821265
73,Giga feat. KAFU - CH4NGE [TH3 THR1LL OF CH4NCE],HDNC,4.2160454437613435,14.222069334476954,35.14010323683603
